,OSEBuildingID,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,SteamUse,Electricity,NaturalGas,PropertyGFABuilding(s)Pct,PropertyGFAParkingPct,LargestPropertyUseTypeGFAPct,SecondLargestPropertyUseTypeGFAPct,ThirdLargestPropertyUseTypeGFAPct,BuildingType_is_campus,BuildingType_is_NonResidential,BuildingType_is_Nonresidential_COS,BuildingType_is_Nonresidential_WA
29,41,Self-Storage Facility,47.66172,-122.29598,1955,1,2,0,110356,Self-Storage Facility,26225.0,NotUsed,0.0,NotUsed,0.0,,326223.0938,3.93,False,True,True,100.0,0.0,23.76400014498532,0.0,0.0,0.0,1.0,0.0,0.0
30,43,Mixed Use Property,47.53493,-122.31788,1992,1,3,0,494835,Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,471613856.0,16870.98,False,True,True,100.0,0.0,152.9857427223216,129.32209726474483,92.90935362292481,1.0,0.0,0.0,0.0
31,46,Warehouse,47.51138,-122.28875,1961,3,2,0,714095,Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,,44110016.0,311.84,False,True,False,100.0,0.0,86.2630322296053,38.65031963534263,9.94265468880191,0.0,1.0,0.0,0.0
32,50,K-12 School,47.65671,-122.39047,1990,1,2,0,54986,K-12 School,54986.0,NotUsed,0.0,NotUsed,0.0,97.0,1802471.375,31.47,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
33,52,Small- and Mid-Sized Office,47.66587,-122.38476,1961,1,2,0,94900,Office,55586.0,Non-Refrigerated Warehouse,39314.0,NotUsed,0.0,57.0,6536359.5,130.56,False,True,True,100.0,0.0,58.57323498419389,41.42676501580611,0.0,0.0,1.0,0.0,0.0
34,53,Small- and Mid-Sized Office,47.58034,-122.31132,1900,1,2,0,52554,Office,51029.0,Other - Education,7849.0,NotUsed,0.0,83.0,3150635.5,83.86,False,True,True,100.0,0.0,97.09822278037828,14.935114358564524,0.0,0.0,1.0,0.0,0.0
35,54,K-12 School,47.68891,-122.33553,1954,1,3,0,175015,K-12 School,175015.0,NotUsed,0.0,NotUsed,0.0,95.0,7886505.5,247.85,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
36,55,Self-Storage Facility,47.61351,-122.35129,1911,1,3,0,70586,Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,2331573.25,45.43,False,True,True,100.0,0.0,54.45697447085824,39.94701498880798,5.46708979117672,0.0,1.0,0.0,0.0
37,56,Hotel,47.60946,-122.33337,1969,1,24,205970,126240,Hotel,348630.0,NotUsed,0.0,NotUsed,0.0,67.0,16163194.0,295.33,False,True,True,38.000060202883716,61.999939797116284,276.16444866920153,0.0,0.0,0.0,1.0,0.0,0.0
38,57,Large Office,47.6113,-122.33659,1973,1,5,0,168115,Office,103362.0,Retail Store,65676.0,Data Center,493.0,78.0,9536161.0,66.48,False,True,False,100.0,0.0,61.482913481842786,39.06611545668144,0.2932516432204146,0.0,1.0,0.0,0.0
39,58,Other,47.61076,-122.33765,1920,1,2,0,57428,Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,NotUsed,0.0,,1239429.75,33.26,False,True,True,100.0,0.0,90.10761301107473,9.892386988925264,0.0,0.0,1.0,0.0,0.0
40,59,Small- and Mid-Sized Office,47.61048,-122.33794,1910,1,8,0,59400,Office,34947.0,Retail Store,4993.0,NotUsed,0.0,14.0,5242479.5,35.36,False,True,False,100.0,0.0,58.833333333333336,8.405723905723907,0.0,0.0,1.0,0.0,0.0
41,60,Mixed Use Property,47.60886,-122.33744,1926,1,2,0,52549,Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,15683742.0,584.31,False,True,True,100.0,0.0,44.720165940360424,44.720165940360424,10.388399398656492,0.0,1.0,0.0,0.0
42,62,Hotel,47.61233,-122.33432,1930,1,20,10043,88591,Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,71.0,5078816.0,59.19,False,True,True,89.81791268730863,10.182087312691364,94.35608583264666,11.336365996545924,5.643914167353343,0.0,1.0,0.0,0.0
43,63,Hotel,47.61087,-122.33339,1982,1,34,146694,847518,Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,63.0,82318072.0,2451.58,True,True,True,85.24519921304511,14.754800786954895,117.30865893113774,13.883834915600612,0.0,0.0,1.0,0.0,0.0
44,65,Hotel,47.60997,-122.34138,1985,1,7,0,71150,Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,98.0,5348309.0,134.38,False,True,True,100.0,0.0,58.10260014054814,19.297259311314125,13.498243148278286,0.0,1.0,0.0,0.0
45,66,Hotel,47.61155,-122.34114,1908,1,7,0,122810,Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,6088417.5,227.18,False,True,True,100.0,0.0,71.94853839263904,21.537334093314875,6.514127514046088,0.0,1.0,0.0,0.0
46,67,Hotel,47.61986,-122.34413,1959,1,5,42546,70627,Hotel,70627.0,Parking,42546.0,NotUsed,0.0,86.0,5428403.5,144.79,False,True,True,62.40622763379958,37.59377236620042,100.0,60.240417970464556,0.0,0.0,1.0,0.0,0.0
47,68,Hotel,47.62001,-122.34274,2000,1,7,34735,115718,Hotel,107547.0,Restaurant,3000.0,NotUsed,0.0,84.0,6835263.5,199.95,False,True,True,76.91305590450173,23.08694409549826,92.93886862890821,2.592509376242244,0.0,0.0,1.0,0.0,0.0
48,69,Hotel,47.62025,-122.34314,1997,1,6,28200,88100,Hotel,88490.0,Parking,28300.0,NotUsed,0.0,80.0,5941927.0,162.39,False,True,True,75.75236457437661,24.247635425623386,100.44267877412032,32.122587968217935,0.0,0.0,1.0,0.0,0.0
49,70,Hotel,47.62023,-122.35951,1998,1,6,36744,118858,Hotel,155602.0,NotUsed,0.0,NotUsed,0.0,81.0,6849826.5,152.76,False,True,True,76.38590763614863,23.614092363851363,130.91420013797978,0.0,0.0,0.0,1.0,0.0,0.0
50,73,K-12 School,47.63442,-122.30793,1911,1,3,0,56072,K-12 School,56072.0,NotUsed,0.0,NotUsed,0.0,76.0,3800842.5,146.34,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
